date_sk, full_date,day_since_2005 ,month_since_2005,day_of_week,calendar_month , calendar_year , calendar_year_month ,day_of_month , day_of_year , week_of_year_sunday , year_week_sunday , week_sunday_start , week_of_year_monday , year_week_monday , week_monday_start, holiday ,day_type ,quarter_of_year , quarter_since_2005
2032,1986-07-25,2032,67,Friday,July,1986,1986-Jul,25,206,29,1986-W29,1986-07-20,30,1986-W30,1986-07-21,Non-Holiday,Weekday,1986-Q3,23
2033,1986-07-26,2033,67,Saturday,July,1986,1986-Jul,26,207,29,1986-W29,1986-07-20,30,1986-W30,1986-07-21,Non-Holiday,Weekend,1986-Q3,23
2034,1986-07-27,2034,67,Sunday,July,1986,1986-Jul,27,208,30,1986-W30,1986-07-27,30,1986-W30,1986-07-21,Non-Holiday,Weekend,1986-Q3,23
2035,1986-07-28,2035,67,Monday,July,1986,1986-Jul,28,209,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekday,1986-Q3,23
2036,1986-07-29,2036,67,Tuesday,July,1986,1986-Jul,29,210,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekday,1986-Q3,23
2037,1986-07-30,2037,67,Wednesday,July,1986,1986-Jul,30,211,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekday,1986-Q3,23
2038,1986-07-31,2038,67,Thursday,July,1986,1986-Jul,31,212,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekday,1986-Q3,23
2039,1986-08-01,2039,68,Friday,August,1986,1986-Aug,1,213,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekday,1986-Q3,23
2040,1986-08-02,2040,68,Saturday,August,1986,1986-Aug,2,214,30,1986-W30,1986-07-27,31,1986-W31,1986-07-28,Non-Holiday,Weekend,1986-Q3,23
2041,1986-08-03,2041,68,Sunday,August,1986,1986-Aug,3,215,31,1986-W31,1986-08-03,31,1986-W31,1986-07-28,Non-Holiday,Weekend,1986-Q3,23
2042,1986-08-04,2042,68,Monday,August,1986,1986-Aug,4,216,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekday,1986-Q3,23
2043,1986-08-05,2043,68,Tuesday,August,1986,1986-Aug,5,217,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekday,1986-Q3,23
2044,1986-08-06,2044,68,Wednesday,August,1986,1986-Aug,6,218,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekday,1986-Q3,23
2045,1986-08-07,2045,68,Thursday,August,1986,1986-Aug,7,219,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekday,1986-Q3,23
2046,1986-08-08,2046,68,Friday,August,1986,1986-Aug,8,220,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekday,1986-Q3,23
2047,1986-08-09,2047,68,Saturday,August,1986,1986-Aug,9,221,31,1986-W31,1986-08-03,32,1986-W32,1986-08-04,Non-Holiday,Weekend,1986-Q3,23
2048,1986-08-10,2048,68,Sunday,August,1986,1986-Aug,10,222,32,1986-W32,1986-08-10,32,1986-W32,1986-08-04,Non-Holiday,Weekend,1986-Q3,23
2049,1986-08-11,2049,68,Monday,August,1986,1986-Aug,11,223,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekday,1986-Q3,23
2050,1986-08-12,2050,68,Tuesday,August,1986,1986-Aug,12,224,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekday,1986-Q3,23
2051,1986-08-13,2051,68,Wednesday,August,1986,1986-Aug,13,225,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekday,1986-Q3,23
2052,1986-08-14,2052,68,Thursday,August,1986,1986-Aug,14,226,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekday,1986-Q3,23
2053,1986-08-15,2053,68,Friday,August,1986,1986-Aug,15,227,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekday,1986-Q3,23
2054,1986-08-16,2054,68,Saturday,August,1986,1986-Aug,16,228,32,1986-W32,1986-08-10,33,1986-W33,1986-08-11,Non-Holiday,Weekend,1986-Q3,23
2055,1986-08-17,2055,68,Sunday,August,1986,1986-Aug,17,229,33,1986-W33,1986-08-17,33,1986-W33,1986-08-11,Non-Holiday,Weekend,1986-Q3,23
2056,1986-08-18,2056,68,Monday,August,1986,1986-Aug,18,230,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekday,1986-Q3,23
2057,1986-08-19,2057,68,Tuesday,August,1986,1986-Aug,19,231,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekday,1986-Q3,23
2058,1986-08-20,2058,68,Wednesday,August,1986,1986-Aug,20,232,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekday,1986-Q3,23
2059,1986-08-21,2059,68,Thursday,August,1986,1986-Aug,21,233,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekday,1986-Q3,23
2060,1986-08-22,2060,68,Friday,August,1986,1986-Aug,22,234,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekday,1986-Q3,23
2061,1986-08-23,2061,68,Saturday,August,1986,1986-Aug,23,235,33,1986-W33,1986-08-17,34,1986-W34,1986-08-18,Non-Holiday,Weekend,1986-Q3,23
2062,1986-08-24,2062,68,Sunday,August,1986,1986-Aug,24,236,34,1986-W34,1986-08-24,34,1986-W34,1986-08-18,Non-Holiday,Weekend,1986-Q3,23
2063,1986-08-25,2063,68,Monday,August,1986,1986-Aug,25,237,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekday,1986-Q3,23
2064,1986-08-26,2064,68,Tuesday,August,1986,1986-Aug,26,238,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekday,1986-Q3,23
2065,1986-08-27,2065,68,Wednesday,August,1986,1986-Aug,27,239,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekday,1986-Q3,23
2066,1986-08-28,2066,68,Thursday,August,1986,1986-Aug,28,240,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekday,1986-Q3,23
2067,1986-08-29,2067,68,Friday,August,1986,1986-Aug,29,241,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekday,1986-Q3,23
2068,1986-08-30,2068,68,Saturday,August,1986,1986-Aug,30,242,34,1986-W34,1986-08-24,35,1986-W35,1986-08-25,Non-Holiday,Weekend,1986-Q3,23
2069,1986-08-31,2069,68,Sunday,August,1986,1986-Aug,31,243,35,1986-W35,1986-08-31,35,1986-W35,1986-08-25,Non-Holiday,Weekend,1986-Q3,23
2070,1986-09-01,2070,69,Monday,September,1986,1986-Sep,1,244,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekday,1986-Q3,23
2071,1986-09-02,2071,69,Tuesday,September,1986,1986-Sep,2,245,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekday,1986-Q3,23
2072,1986-09-03,2072,69,Wednesday,September,1986,1986-Sep,3,246,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekday,1986-Q3,23
2073,1986-09-04,2073,69,Thursday,September,1986,1986-Sep,4,247,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekday,1986-Q3,23
2074,1986-09-05,2074,69,Friday,September,1986,1986-Sep,5,248,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekday,1986-Q3,23
2075,1986-09-06,2075,69,Saturday,September,1986,1986-Sep,6,249,35,1986-W35,1986-08-31,36,1986-W36,1986-09-01,Non-Holiday,Weekend,1986-Q3,23
2076,1986-09-07,2076,69,Sunday,September,1986,1986-Sep,7,250,36,1986-W36,1986-09-07,36,1986-W36,1986-09-01,Non-Holiday,Weekend,1986-Q3,23
2077,1986-09-08,2077,69,Monday,September,1986,1986-Sep,8,251,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekday,1986-Q3,23
2078,1986-09-09,2078,69,Tuesday,September,1986,1986-Sep,9,252,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekday,1986-Q3,23
2079,1986-09-10,2079,69,Wednesday,September,1986,1986-Sep,10,253,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekday,1986-Q3,23
2080,1986-09-11,2080,69,Thursday,September,1986,1986-Sep,11,254,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekday,1986-Q3,23
2081,1986-09-12,2081,69,Friday,September,1986,1986-Sep,12,255,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekday,1986-Q3,23
2082,1986-09-13,2082,69,Saturday,September,1986,1986-Sep,13,256,36,1986-W36,1986-09-07,37,1986-W37,1986-09-08,Non-Holiday,Weekend,1986-Q3,23
2083,1986-09-14,2083,69,Sunday,September,1986,1986-Sep,14,257,37,1986-W37,1986-09-14,37,1986-W37,1986-09-08,Non-Holiday,Weekend,1986-Q3,23
2084,1986-09-15,2084,69,Monday,September,1986,1986-Sep,15,258,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekday,1986-Q3,23
2085,1986-09-16,2085,69,Tuesday,September,1986,1986-Sep,16,259,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekday,1986-Q3,23
2086,1986-09-17,2086,69,Wednesday,September,1986,1986-Sep,17,260,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekday,1986-Q3,23
2087,1986-09-18,2087,69,Thursday,September,1986,1986-Sep,18,261,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekday,1986-Q3,23
2088,1986-09-19,2088,69,Friday,September,1986,1986-Sep,19,262,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekday,1986-Q3,23
2089,1986-09-20,2089,69,Saturday,September,1986,1986-Sep,20,263,37,1986-W37,1986-09-14,38,1986-W38,1986-09-15,Non-Holiday,Weekend,1986-Q3,23
2090,1986-09-21,2090,69,Sunday,September,1986,1986-Sep,21,264,38,1986-W38,1986-09-21,38,1986-W38,1986-09-15,Non-Holiday,Weekend,1986-Q3,23
2091,1986-09-22,2091,69,Monday,September,1986,1986-Sep,22,265,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekday,1986-Q3,23
2092,1986-09-23,2092,69,Tuesday,September,1986,1986-Sep,23,266,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekday,1986-Q3,23
2093,1986-09-24,2093,69,Wednesday,September,1986,1986-Sep,24,267,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekday,1986-Q3,23
2094,1986-09-25,2094,69,Thursday,September,1986,1986-Sep,25,268,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekday,1986-Q3,23
2095,1986-09-26,2095,69,Friday,September,1986,1986-Sep,26,269,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekday,1986-Q3,23
2096,1986-09-27,2096,69,Saturday,September,1986,1986-Sep,27,270,38,1986-W38,1986-09-21,39,1986-W39,1986-09-22,Non-Holiday,Weekend,1986-Q3,23
2097,1986-09-28,2097,69,Sunday,September,1986,1986-Sep,28,271,39,1986-W39,1986-09-28,39,1986-W39,1986-09-22,Non-Holiday,Weekend,1986-Q3,23
2098,1986-09-29,2098,69,Monday,September,1986,1986-Sep,29,272,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekday,1986-Q3,23
2099,1986-09-30,2099,69,Tuesday,September,1986,1986-Sep,30,273,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekday,1986-Q3,23
2100,1986-10-01,2100,70,Wednesday,October,1986,1986-Oct,1,274,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekday,1986-Q4,24
2101,1986-10-02,2101,70,Thursday,October,1986,1986-Oct,2,275,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekday,1986-Q4,24
2102,1986-10-03,2102,70,Friday,October,1986,1986-Oct,3,276,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekday,1986-Q4,24
2103,1986-10-04,2103,70,Saturday,October,1986,1986-Oct,4,277,39,1986-W39,1986-09-28,40,1986-W40,1986-09-29,Non-Holiday,Weekend,1986-Q4,24
2104,1986-10-05,2104,70,Sunday,October,1986,1986-Oct,5,278,40,1986-W40,1986-10-05,40,1986-W40,1986-09-29,Non-Holiday,Weekend,1986-Q4,24
2105,1986-10-06,2105,70,Monday,October,1986,1986-Oct,6,279,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekday,1986-Q4,24
2106,1986-10-07,2106,70,Tuesday,October,1986,1986-Oct,7,280,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekday,1986-Q4,24
2107,1986-10-08,2107,70,Wednesday,October,1986,1986-Oct,8,281,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekday,1986-Q4,24
2108,1986-10-09,2108,70,Thursday,October,1986,1986-Oct,9,282,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekday,1986-Q4,24
2109,1986-10-10,2109,70,Friday,October,1986,1986-Oct,10,283,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekday,1986-Q4,24
2110,1986-10-11,2110,70,Saturday,October,1986,1986-Oct,11,284,40,1986-W40,1986-10-05,41,1986-W41,1986-10-06,Non-Holiday,Weekend,1986-Q4,24
2111,1986-10-12,2111,70,Sunday,October,1986,1986-Oct,12,285,41,1986-W41,1986-10-12,41,1986-W41,1986-10-06,Non-Holiday,Weekend,1986-Q4,24
2112,1986-10-13,2112,70,Monday,October,1986,1986-Oct,13,286,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekday,1986-Q4,24
2113,1986-10-14,2113,70,Tuesday,October,1986,1986-Oct,14,287,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekday,1986-Q4,24
2114,1986-10-15,2114,70,Wednesday,October,1986,1986-Oct,15,288,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekday,1986-Q4,24
2115,1986-10-16,2115,70,Thursday,October,1986,1986-Oct,16,289,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekday,1986-Q4,24
2116,1986-10-17,2116,70,Friday,October,1986,1986-Oct,17,290,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekday,1986-Q4,24
2117,1986-10-18,2117,70,Saturday,October,1986,1986-Oct,18,291,41,1986-W41,1986-10-12,42,1986-W42,1986-10-13,Non-Holiday,Weekend,1986-Q4,24
2118,1986-10-19,2118,70,Sunday,October,1986,1986-Oct,19,292,42,1986-W42,1986-10-19,42,1986-W42,1986-10-13,Non-Holiday,Weekend,1986-Q4,24
2119,1986-10-20,2119,70,Monday,October,1986,1986-Oct,20,293,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekday,1986-Q4,24
2120,1986-10-21,2120,70,Tuesday,October,1986,1986-Oct,21,294,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekday,1986-Q4,24
2121,1986-10-22,2121,70,Wednesday,October,1986,1986-Oct,22,295,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekday,1986-Q4,24
2122,1986-10-23,2122,70,Thursday,October,1986,1986-Oct,23,296,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekday,1986-Q4,24
2123,1986-10-24,2123,70,Friday,October,1986,1986-Oct,24,297,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekday,1986-Q4,24
2124,1986-10-25,2124,70,Saturday,October,1986,1986-Oct,25,298,42,1986-W42,1986-10-19,43,1986-W43,1986-10-20,Non-Holiday,Weekend,1986-Q4,24
2125,1986-10-26,2125,70,Sunday,October,1986,1986-Oct,26,299,43,1986-W43,1986-10-26,43,1986-W43,1986-10-20,Non-Holiday,Weekend,1986-Q4,24
2126,1986-10-27,2126,70,Monday,October,1986,1986-Oct,27,300,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekday,1986-Q4,24
2127,1986-10-28,2127,70,Tuesday,October,1986,1986-Oct,28,301,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekday,1986-Q4,24
2128,1986-10-29,2128,70,Wednesday,October,1986,1986-Oct,29,302,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekday,1986-Q4,24
2129,1986-10-30,2129,70,Thursday,October,1986,1986-Oct,30,303,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekday,1986-Q4,24
2130,1986-10-31,2130,70,Friday,October,1986,1986-Oct,31,304,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekday,1986-Q4,24
2131,1986-11-01,2131,71,Saturday,November,1986,1986-Nov,1,305,43,1986-W43,1986-10-26,44,1986-W44,1986-10-27,Non-Holiday,Weekend,1986-Q4,24
2132,1986-11-02,2132,71,Sunday,November,1986,1986-Nov,2,306,44,1986-W44,1986-11-02,44,1986-W44,1986-10-27,Non-Holiday,Weekend,1986-Q4,24
2133,1986-11-03,2133,71,Monday,November,1986,1986-Nov,3,307,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekday,1986-Q4,24
2134,1986-11-04,2134,71,Tuesday,November,1986,1986-Nov,4,308,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekday,1986-Q4,24
2135,1986-11-05,2135,71,Wednesday,November,1986,1986-Nov,5,309,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekday,1986-Q4,24
2136,1986-11-06,2136,71,Thursday,November,1986,1986-Nov,6,310,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekday,1986-Q4,24
2137,1986-11-07,2137,71,Friday,November,1986,1986-Nov,7,311,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekday,1986-Q4,24
2138,1986-11-08,2138,71,Saturday,November,1986,1986-Nov,8,312,44,1986-W44,1986-11-02,45,1986-W45,1986-11-03,Non-Holiday,Weekend,1986-Q4,24
2139,1986-11-09,2139,71,Sunday,November,1986,1986-Nov,9,313,45,1986-W45,1986-11-09,45,1986-W45,1986-11-03,Non-Holiday,Weekend,1986-Q4,24
2140,1986-11-10,2140,71,Monday,November,1986,1986-Nov,10,314,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekday,1986-Q4,24
2141,1986-11-11,2141,71,Tuesday,November,1986,1986-Nov,11,315,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekday,1986-Q4,24
2142,1986-11-12,2142,71,Wednesday,November,1986,1986-Nov,12,316,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekday,1986-Q4,24
2143,1986-11-13,2143,71,Thursday,November,1986,1986-Nov,13,317,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekday,1986-Q4,24
2144,1986-11-14,2144,71,Friday,November,1986,1986-Nov,14,318,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekday,1986-Q4,24
2145,1986-11-15,2145,71,Saturday,November,1986,1986-Nov,15,319,45,1986-W45,1986-11-09,46,1986-W46,1986-11-10,Non-Holiday,Weekend,1986-Q4,24
2146,1986-11-16,2146,71,Sunday,November,1986,1986-Nov,16,320,46,1986-W46,1986-11-16,46,1986-W46,1986-11-10,Non-Holiday,Weekend,1986-Q4,24
2147,1986-11-17,2147,71,Monday,November,1986,1986-Nov,17,321,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekday,1986-Q4,24
2148,1986-11-18,2148,71,Tuesday,November,1986,1986-Nov,18,322,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekday,1986-Q4,24
2149,1986-11-19,2149,71,Wednesday,November,1986,1986-Nov,19,323,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekday,1986-Q4,24
2150,1986-11-20,2150,71,Thursday,November,1986,1986-Nov,20,324,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekday,1986-Q4,24
2151,1986-11-21,2151,71,Friday,November,1986,1986-Nov,21,325,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekday,1986-Q4,24
2152,1986-11-22,2152,71,Saturday,November,1986,1986-Nov,22,326,46,1986-W46,1986-11-16,47,1986-W47,1986-11-17,Non-Holiday,Weekend,1986-Q4,24
2153,1986-11-23,2153,71,Sunday,November,1986,1986-Nov,23,327,47,1986-W47,1986-11-23,47,1986-W47,1986-11-17,Non-Holiday,Weekend,1986-Q4,24
2154,1986-11-24,2154,71,Monday,November,1986,1986-Nov,24,328,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekday,1986-Q4,24
2155,1986-11-25,2155,71,Tuesday,November,1986,1986-Nov,25,329,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekday,1986-Q4,24
2156,1986-11-26,2156,71,Wednesday,November,1986,1986-Nov,26,330,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekday,1986-Q4,24
2157,1986-11-27,2157,71,Thursday,November,1986,1986-Nov,27,331,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekday,1986-Q4,24
2158,1986-11-28,2158,71,Friday,November,1986,1986-Nov,28,332,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekday,1986-Q4,24
2159,1986-11-29,2159,71,Saturday,November,1986,1986-Nov,29,333,47,1986-W47,1986-11-23,48,1986-W48,1986-11-24,Non-Holiday,Weekend,1986-Q4,24
2160,1986-11-30,2160,71,Sunday,November,1986,1986-Nov,30,334,48,1986-W48,1986-11-30,48,1986-W48,1986-11-24,Non-Holiday,Weekend,1986-Q4,24
2161,1986-12-01,2161,72,Monday,December,1986,1986-Dec,1,335,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekday,1986-Q4,24
2162,1986-12-02,2162,72,Tuesday,December,1986,1986-Dec,2,336,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekday,1986-Q4,24
2163,1986-12-03,2163,72,Wednesday,December,1986,1986-Dec,3,337,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekday,1986-Q4,24
2164,1986-12-04,2164,72,Thursday,December,1986,1986-Dec,4,338,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekday,1986-Q4,24
2165,1986-12-05,2165,72,Friday,December,1986,1986-Dec,5,339,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekday,1986-Q4,24
2166,1986-12-06,2166,72,Saturday,December,1986,1986-Dec,6,340,48,1986-W48,1986-11-30,49,1986-W49,1986-12-01,Non-Holiday,Weekend,1986-Q4,24
2167,1986-12-07,2167,72,Sunday,December,1986,1986-Dec,7,341,49,1986-W49,1986-12-07,49,1986-W49,1986-12-01,Non-Holiday,Weekend,1986-Q4,24
2168,1986-12-08,2168,72,Monday,December,1986,1986-Dec,8,342,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekday,1986-Q4,24
2169,1986-12-09,2169,72,Tuesday,December,1986,1986-Dec,9,343,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekday,1986-Q4,24
2170,1986-12-10,2170,72,Wednesday,December,1986,1986-Dec,10,344,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekday,1986-Q4,24
2171,1986-12-11,2171,72,Thursday,December,1986,1986-Dec,11,345,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekday,1986-Q4,24
2172,1986-12-12,2172,72,Friday,December,1986,1986-Dec,12,346,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekday,1986-Q4,24
2173,1986-12-13,2173,72,Saturday,December,1986,1986-Dec,13,347,49,1986-W49,1986-12-07,50,1986-W50,1986-12-08,Non-Holiday,Weekend,1986-Q4,24
2174,1986-12-14,2174,72,Sunday,December,1986,1986-Dec,14,348,50,1986-W50,1986-12-14,50,1986-W50,1986-12-08,Non-Holiday,Weekend,1986-Q4,24
2175,1986-12-15,2175,72,Monday,December,1986,1986-Dec,15,349,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekday,1986-Q4,24
2176,1986-12-16,2176,72,Tuesday,December,1986,1986-Dec,16,350,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekday,1986-Q4,24
2177,1986-12-17,2177,72,Wednesday,December,1986,1986-Dec,17,351,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekday,1986-Q4,24
2178,1986-12-18,2178,72,Thursday,December,1986,1986-Dec,18,352,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekday,1986-Q4,24
2179,1986-12-19,2179,72,Friday,December,1986,1986-Dec,19,353,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekday,1986-Q4,24
2180,1986-12-20,2180,72,Saturday,December,1986,1986-Dec,20,354,50,1986-W50,1986-12-14,51,1986-W51,1986-12-15,Non-Holiday,Weekend,1986-Q4,24
2181,1986-12-21,2181,72,Sunday,December,1986,1986-Dec,21,355,51,1986-W51,1986-12-21,51,1986-W51,1986-12-15,Non-Holiday,Weekend,1986-Q4,24
2182,1986-12-22,2182,72,Monday,December,1986,1986-Dec,22,356,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekday,1986-Q4,24
2183,1986-12-23,2183,72,Tuesday,December,1986,1986-Dec,23,357,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekday,1986-Q4,24
2184,1986-12-24,2184,72,Wednesday,December,1986,1986-Dec,24,358,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekday,1986-Q4,24
2185,1986-12-25,2185,72,Thursday,December,1986,1986-Dec,25,359,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekday,1986-Q4,24
2186,1986-12-26,2186,72,Friday,December,1986,1986-Dec,26,360,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekday,1986-Q4,24
2187,1986-12-27,2187,72,Saturday,December,1986,1986-Dec,27,361,51,1986-W51,1986-12-21,52,1986-W52,1986-12-22,Non-Holiday,Weekend,1986-Q4,24
2188,1986-12-28,2188,72,Sunday,December,1986,1986-Dec,28,362,52,1986-W52,1986-12-28,52,1986-W52,1986-12-22,Non-Holiday,Weekend,1986-Q4,24
